format,n,size_bytes,write_s,insert_s,read_s
ticks none,100000,400135,0.004041,0.003060,0.001067
ticks zstd,100000,141563,0.005335,0.007630,0.002675
parquet snappy,100000,622162,0.009915,0.008767,0.002132
parquet zstd,100000,376503,0.009779,0.009445,0.001725
feather zstd,100000,207042,0.002137,0.002027,0.001660
bi5,100000,163024,0.195970,0.198479,0.010900
csv,100000,2408143,0.007221,0.007210,0.003539
ticks none,250000,1000135,0.003958,0.006200,0.002437
ticks zstd,250000,346437,0.007754,0.012278,0.003987
parquet snappy,250000,1496775,0.024095,0.021613,0.002760
parquet zstd,250000,895180,0.023819,0.020700,0.002503
feather zstd,250000,518722,0.004462,0.004550,0.003684
bi5,250000,404878,0.568327,0.560387,0.028339
csv,250000,6020600,0.017488,0.018504,0.004570
ticks none,500000,2000135,0.007245,0.010548,0.004527
ticks zstd,500000,687122,0.014346,0.023081,0.010620
parquet snappy,500000,2695982,0.034708,0.040758,0.004472
parquet zstd,500000,1475013,0.038288,0.044738,0.004186
feather zstd,500000,1036410,0.008669,0.008628,0.006897
bi5,500000,806162,1.342905,1.494096,0.059350
csv,500000,12040688,0.036215,0.038162,0.008138
ticks none,1000000,4000135,0.014929,0.020321,0.009184
ticks zstd,1000000,1367610,0.030141,0.056953,0.018668
parquet snappy,1000000,5104763,0.059260,0.078572,0.007114
parquet zstd,1000000,2640432,0.093454,0.094659,0.007837
feather zstd,1000000,2071666,0.016392,0.016954,0.013766
bi5,1000000,1611281,3.074483,2.937373,0.119314
csv,1000000,24081595,0.069754,0.070732,0.015715
ticks none,2500000,10000135,0.036140,0.052030,0.024388
ticks zstd,2500000,3403264,0.068627,0.108474,0.044420
parquet snappy,2500000,12900180,0.150683,0.221702,0.018140
parquet zstd,2500000,6652155,0.163878,0.235843,0.015831
feather zstd,2500000,5180602,0.039912,0.041076,0.037369
bi5,2500000,4020944,8.336447,7.615771,0.293179
csv,2500000,60203833,0.177764,0.184486,0.037200
ticks none,5000000,20000198,0.070675,0.095766,0.047291
ticks zstd,5000000,6806179,0.131175,0.185234,0.078028
parquet snappy,5000000,25543932,0.270342,0.378977,0.049049
parquet zstd,5000000,13117239,0.304105,0.415828,0.049263
feather zstd,5000000,10354746,0.077834,0.078092,0.085583
bi5,5000000,7987342,15.563909,15.515780,0.585387
csv,5000000,120407831,0.354412,0.367122,0.092339
ticks none,10000000,40000261,0.145374,0.196772,0.098066
ticks zstd,10000000,13604318,0.257146,0.483210,0.159331
parquet snappy,10000000,51250754,0.545972,0.758768,0.100200
parquet zstd,10000000,26465572,0.601461,0.824100,0.099931
feather zstd,10000000,20715442,0.158078,0.163743,0.170105
bi5,10000000,15796035,32.272188,32.468288,1.184428
csv,10000000,240815779,0.823355,0.817522,0.187229
